abundante,mucho,copioso,garrafal
acabar,terminar,terminar,
advertir,notar,,
alterado,nervioso,,
altura,elevación,,
amplificar,agrandar,,
angustia,malestar,,
anteojos,gafas,,
apto,hábil,,
armonía,calma,,
avaro,amarrete,,
barato,económico,,
batalla,guerra,,
bobo,necio,,
boleto,billete,,
bonito,hermoso,,
cabello,pelo,,
cálido,caliente,,
calmar,atenuar,,
cama,lecho,,
camino,sendero,,
cantina,bar,,
castigar,sancionar,,
cola,rabo,,
combate,contienda,,
cómodo,confortable,,
comprar,adquirir,,
comprender,entender,,
constitución,estatuto,,
crear,inventar,,
cumbre,cima,,
dadivoso,desprendido,,
danza0,baile,,
decir,pronunciar,,
defecto,imperfección,,
demente,loco,,
desobediente,indisciplinado,,
destruir,eliminar,,
dicha,alegría,,
ebrio,borracho,,
economizar,ahorrar,,
edén,paraíso,,
educar,enseñar,,
elegir,escoger,,
elevar,subir,,
embrujar,hechizar,,
embuste,mentira,,
enfurecer,enojar,,
enigma,incógnita,,
enseñanza,educación,,
entero,completo,,
escrito,nota,,
escuchar,atender,,
estudiante,alumno,,
expresar,exponer,,
extraño,raro,,
fácil,sencillo,,
fallecer,morir,,
famoso,célebre,,
fiel,leal,,
flaco,delgado,,
flecha,saeta,,
formación,instrucción,,
fotografía,retrato,,
fragmento,pedazo,,
frizar,congelar,,
garaje,cochera,,
generoso,dadivoso,,
gigante,enorme,,
gordo,obeso,,
humildad,modestia,,
humo,humareda,,
idéntico,igual,,
idioma,lengua,,
iluminar,alumbrar,,
importe,valor,,
increíble,impresionante,,
indicio,pista,,
insolencia,arrogancia,,
insulto,agravio,,
inteligencia,sabiduría,,
invariabilidad,uniformidad,,
junta,delegación,,
labor,trabajo,,
lanzar,arrojar,,
llano,plano,,
lucha,pelea,,
maestro,profesor,,
magnate,poderoso,,
magnífico,espléndido,,
matar,asesinar,,
matrimonio,boda,,
miedo,pánico,,
misericordia,piedad,,
momento,instante,,
monarca,rey,,
montar,cabalgar,,
naipe,baraja,,
nombrar,designar,,
norma,regla,,
nunca,jamás,,
oir,escuchar,,
óleo,aceite,,
orar,rezar,,
página,hoja,,
parar,detener,,
partir,dividir,,
paz,tranquilidad,,
pedagogía,enseñanza,,
pelo,cabello,,
penunmbra,tinieblas,,
plano,llano,,
poco,escaso,,
posible,factible,,
preocupación,inquietud,,
previo,anterior,,
profundo,hondo,,
queja,lamento,,
querer,pretender,,
raro,extraño,,
razón,motivo,,
reposo,quietud,,
robar,hurtar,,
rostro,cara,,
saber,conocer,,
sabio,erudito,,
sabroso,rico,,
sanar,curar,,
sano,saludable,,
satisfacer,saciar,,
silbar,pitar,,
silueta,contorno,,
soberbia,altanería,,
sombra,oscuridad,,
sumar,agregar,,
tacaño,avaro,,
tal vez,quizás,,
tomar,beber,,
transcribir,manuscribir,,
triunfo,victoria,,
valiente,aventurado,,
valioso,preciado,,
veloz,rápido,,
vereda,senda,,
vivir,habitar,,
volver,regresar,,
